rule,id,symbol,entry_time,exit_time,entry_price,exit_price,stop_pct,cost,pnl,reason
baseline,closed-1,VVV/USDT,1773376987.682436,1773460799.999,6.363,6.1988,8.0,238.0952380952381,-6.144151830149,BE_STOP
baseline,closed-0,TRX/USDT,1773376987.6815863,1773935999.999,0.2896,0.29989,8.0,476.19047619047626,16.91988950276235,NO_LONG
baseline,closed-120,VVV/USDT,1773965225.795107,1774324799.999,5.7672,5.616,8.0,142.85714285714286,-3.7453183520599342,BE_STOP
baseline,closed-2,TAO/USDT,1774441801.607653,1774612799.999,358.03,324.56,8.0,116.27906976744185,-10.870207706382914,STOP_LOSS
baseline,closed-6,PURR/USDT,1774442017.1916852,1774612799.999,0.087222,0.078611,8.0,166.66666666666666,-16.454182048871445,STOP_LOSS
baseline,closed-219,MORPHO/USDT,1774510530.623234,1774612799.999,1.67,1.5096,8.0,41.666666666666664,-4.001996007984029,STOP_LOSS
baseline,closed-5,ZRO/USDT,1774441946.5160167,1774627199.999,2.219,2.0187,8.0,181.8181818181818,-16.41197918800441,STOP_LOSS
baseline,open-0,HYPE/USDT,1773232095.0530453,1775102399.999,35.49,35.19,8.0,454.54545454545456,-3.8423115346192755,BE_STOP
baseline,closed-24,POLYX/USDT,1775288053.4456906,1775318399.999,0.0559,0.051078,8.0,40.32258064516129,-3.4782734145074707,STOP_LOSS
baseline,closed-20,ALGO/USDT,1775318628.0736766,1775519999.999,0.11886,0.11847,8.0,80.64516129032258,-0.26461057465274496,BE_STOP
baseline,open-3,APE/USDT,1775175276.6262028,1775563199.999,0.0829,0.0829,8.0,41.666666666666664,0.0,BE_STOP
baseline,closed-26,AIXBT/USDT,1775657941.3443787,1775678399.999,0.02726,0.024891,8.0,40.32258064516129,-3.5041890516649703,STOP_LOSS
baseline,closed-3,TAO/USDT,1774650703.1715167,1775779199.999,313.81,304.57,8.0,166.66666666666666,-4.907428061565929,BE_STOP
baseline,closed-4,TNSR/USDT,1775720377.817925,1775807999.999,0.04687,0.04389,8.0,24.193548387096772,-1.5382285938457099,BE_STOP
baseline,closed-32,RENDER/USDT,1775246608.4542537,1775966399.999,1.9436,1.9263,8.0,166.66666666666666,-1.4835014063250458,BE_STOP
baseline,closed-10,TURBO/USDT,1776366178.3499205,1776412799.999,0.00133,0.001211,8.0,19.53125,-1.747532894736841,STOP_LOSS
baseline,closed-16,GRIFFAIN/USDT,1776441680.2020073,1776470399.999,0.01773,0.0162,8.0,39.0625,-3.370875634517768,STOP_LOSS
baseline,closed-14,LDO/USDT,1776356269.2247193,1776513599.999,0.41589,0.4075,8.0,58.59374999999999,-1.182047085767875,BE_STOP
baseline,closed-13,MOODENG/USDT,1776370082.2002487,1776513599.999,0.061019,0.056095,8.0,58.59375,-4.728291597699077,STOP_LOSS
baseline,closed-15,ZETA/USDT,1776392430.3794386,1776513599.999,0.06179,0.05586,8.0,19.53125,-1.874418392943842,STOP_LOSS
baseline,closed-27,GRASS/USDT,1776338275.5458813,1776527999.999,0.37161,0.33569,8.0,109.89010989010987,-10.622030481560628,STOP_LOSS
baseline,closed-22,ACE/USDT,1776501359.121004,1776527999.999,0.1444,0.1354,8.0,11.71875,-0.7303930055401671,BE_STOP
baseline,closed-28,AERO/USDT,1776427632.5067496,1776542399.999,0.41991,0.40542,8.0,58.59375,-2.021917643066371,BE_STOP
baseline,closed-31,VIRTUAL/USDT,1776442685.225196,1776542399.999,0.77449,0.70582,8.0,58.59375,-5.195203052976798,STOP_LOSS
baseline,closed-25,TIA/USDT,1776470858.0107574,1776542399.999,0.4314,0.39664,8.0,58.59375,-4.721183936022253,STOP_LOSS
baseline,closed-17,ZRO/USDT,1776338966.3650606,1776556799.999,1.9454,1.7817,8.0,19.53125,-1.6435003726740005,STOP_LOSS
baseline,closed-34,KAITO/USDT,1776338275.548521,1776556799.999,0.4499,0.44094,8.0,54.94505494505494,-1.094260262964422,BE_STOP
baseline,closed-9,MON/USDT,1776338349.0392292,1776556799.999,0.035808,0.032415,8.0,45.45454545454545,-4.307061905922494,STOP_LOSS
baseline,closed-38,PURR/USDT,1776348142.5372531,1776571199.999,0.080033,0.078777,8.0,78.125,-1.2260567515899774,BE_STOP
baseline,closed-37,WLD/USDT,1776474095.795278,1776571199.999,0.28456,0.261,8.0,11.71875,-0.9702479266235583,STOP_LOSS
baseline,closed-45,ZEC/USDT,1776338419.7554412,1776628799.999,345.78,303.4,8.0,39.0625,-4.787635924576321,STOP_LOSS
baseline,closed-46,TAO/USDT,1776441680.2079284,1776643199.999,260.73,239.36,8.0,78.125,-6.403295554788481,STOP_LOSS
baseline,closed-8,FET/USDT,1776338275.5433605,1776643199.999,0.2312,0.2085,8.0,27.47252747252747,-2.6973459066884664,STOP_LOSS
baseline,closed-49,CAKE/USDT,1776442685.2202237,1776643199.999,1.6391,1.5029,8.0,58.59375000000001,-4.868811390397175,STOP_LOSS
baseline,closed-29,DYDX/USDT,1776484907.512156,1776643199.999,0.14717,0.13368,8.0,58.59375,-5.370861503703203,STOP_LOSS
baseline,closed-58,COMP/USDT,1776338275.5405662,1776801599.999,22.779,22.659,8.0,82.41758241758241,-0.4341766491114609,BE_STOP
baseline,closed-63,SUPER/USDT,1776663915.8739815,1776916799.999,0.12494,0.12434,8.0,19.53125,-0.09379502161037043,BE_STOP
baseline,closed-7,TRB/USDT,1776338419.7474828,1776945599.999,17.773,17.745,8.0,58.59375000000001,-0.09230996455297011,BE_STOP
baseline,closed-68,HYPER/USDT,1777117974.2439666,1777175999.999,0.13234,0.12924,8.0,19.53125,-0.45751001209007414,BE_STOP
baseline,closed-69,HEMI/USDT,1777148562.0403845,1777262399.999,0.009872,0.008819,8.0,19.53125,-2.0833069540113454,STOP_LOSS
baseline,closed-72,LDO/USDT,1776888212.1474862,1777276799.999,0.394,0.38265,8.0,58.59375,-1.6879164022842708,BE_STOP
baseline,closed-74,SPX/USDT,1776960127.6242328,1777276799.999,0.3914,0.38611,8.0,39.0625,-0.527952542156364,BE_STOP
baseline,closed-75,TRUMP/USDT,1777153335.7161508,1777291199.999,2.5483,2.5455,8.0,19.53125,-0.021460385354939854,BE_STOP
baseline,closed-65,DOT/USDT,1775980972.484268,1777305599.999,1.2249,1.218,8.0,40.32258064516129,-0.2271416494829098,BE_STOP
baseline,closed-76,INJ/USDT,1777188940.993972,1777305599.999,3.9042,3.5434,8.0,19.53125,-1.8049472363096137,STOP_LOSS
baseline,closed-67,MON/USDT,1776960050.4621058,1777348799.999,0.03295,0.030009,8.0,39.0625,-3.486580045523519,STOP_LOSS
baseline,closed-82,MINA/USDT,1777183609.7501297,1777348799.999,0.066591,0.061162,8.0,19.53125,-1.5923346435704517,STOP_LOSS
baseline,closed-80,GRASS/USDT,1776687450.598616,1777377599.999,0.3347,0.33381,8.0,39.0625,-0.10387100388407379,BE_STOP
baseline,closed-81,ALGO/USDT,1777090682.0724192,1777478399.999,0.11172,0.11038,8.0,39.0625,-0.4685262262799821,BE_STOP
baseline,closed-87,JUP/USDT,1777263265.137944,1777478399.999,0.1981,0.18167,8.0,39.0625,-3.239762115093388,STOP_LOSS
baseline,closed-90,ACE/USDT,1776621986.14587,1777579199.999,0.1173,0.1173,8.0,11.71827,0.0,BE_STOP
