id,symbol,reason
closed-647,STG/USDT,No completed entry candle
open-4,MOG/USDT,No native market mapping
closed-382,JTO/USDT,Entry unit/range mismatch
closed-42,YZY/USDT,Incomplete candle path through final snapshot
closed-52,ZEREBRO/USDT,Incomplete candle path through final snapshot
closed-11,VINE/USDT,Incomplete candle path through final snapshot
closed-33,VINE/USDT,Incomplete candle path through final snapshot
closed-43,YZY/USDT,Incomplete candle path through final snapshot
closed-44,YZY/USDT,Incomplete candle path through final snapshot
closed-78,YZY/USDT,Entry unit/range mismatch
closed-57,CHILLGUY/USDT,Incomplete candle path through final snapshot
open-5,ZEREBRO/USDT,Incomplete candle path through final snapshot
closed-61,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-66,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-86,PURR/USDT,Entry unit/range mismatch
closed-84,YZY/USDT,Entry unit/range mismatch
closed-100,YZY/USDT,Entry unit/range mismatch
closed-98,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-210,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-361,TON/USDT,Incomplete candle path through final snapshot
closed-148,VINE/USDT,Incomplete candle path through final snapshot
closed-272,ARK/USDT,Incomplete candle path through final snapshot
closed-225,VINE/USDT,Incomplete candle path through final snapshot
closed-233,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-238,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-274,CHILLGUY/USDT,Incomplete candle path through final snapshot
closed-338,VINE/USDT,Incomplete candle path through final snapshot
closed-373,VINE/USDT,Incomplete candle path through final snapshot
closed-396,TON/USDT,Incomplete candle path through final snapshot
closed-413,TON/USDT,Incomplete candle path through final snapshot
closed-428,TON/USDT,Incomplete candle path through final snapshot
closed-473,TON/USDT,No completed entry candle
open-9,XMR/USDT,Entry unit/range mismatch
open-10,TON/USDT,No completed entry candle
closed-504,ARK/USDT,No completed entry candle
closed-505,ARK/USDT,No completed entry candle
closed-506,ARK/USDT,No completed entry candle
closed-508,ARK/USDT,No completed entry candle
closed-511,ARK/USDT,No completed entry candle
closed-529,ARK/USDT,No completed entry candle
open-13,MANA/USDT,No native market mapping
closed-556,CHILLGUY/USDT,No completed entry candle
closed-644,VINE/USDT,Incomplete candle path through final snapshot
closed-602,CHILLGUY/USDT,No completed entry candle
closed-604,CHILLGUY/USDT,No completed entry candle
closed-609,CHILLGUY/USDT,No completed entry candle
closed-629,CHILLGUY/USDT,No completed entry candle
closed-642,CHILLGUY/USDT,No completed entry candle
closed-653,PIXEL/USDT,No completed entry candle
open-26,VINE/USDT,Incomplete candle path through final snapshot
closed-666,CHILLGUY/USDT,No completed entry candle
closed-733,CHILLGUY/USDT,No completed entry candle
closed-750,CHILLGUY/USDT,No completed entry candle
open-62,CHILLGUY/USDT,No completed entry candle
open-70,ZORA/USDT,Entry unit/range mismatch
open-86,KPEPE/USDT,Incomplete candle path through final snapshot
open-87,KSHIB/USDT,Incomplete candle path through final snapshot
open-88,KFLOKI/USDT,Incomplete candle path through final snapshot
open-89,ANIME/USDT,Incomplete candle path through final snapshot
open-90,YGG/USDT,Incomplete candle path through final snapshot
open-91,GRASS/USDT,No completed entry candle
open-92,HEMI/USDT,No completed entry candle
open-93,POLYX/USDT,No completed entry candle
open-94,ZETA/USDT,No completed entry candle
open-95,ZK/USDT,No completed entry candle
open-96,RENDER/USDT,No completed entry candle
open-97,LINEA/USDT,No completed entry candle
