rule,fill_mode,closed,open,skipped,realized,unrealized,combined,return_pct,estimated_costs,net,sampled_max_drawdown_pct
baseline,close,440,61,297,-814.7467480168643,660.9637207409637,-153.78302727590062,-1.5378302727590063,20.279741107456022,-174.06276838335666,8.285930715229131
reset,close,409,59,330,-742.658032418741,620.9304233142681,-121.72760910447289,-1.217276091044729,18.917347988855084,-140.64495709332797,7.383134692099487
reset6,close,433,55,310,-700.8677581940835,536.1397540444004,-164.7280041496831,-1.647280041496831,19.877696175967422,-184.60570032565053,7.099823645989795
reset10,close,385,60,353,-619.5317300293625,491.1762151541088,-128.35551487525373,-1.2835551487525374,14.244092397703515,-142.59960727295726,6.257385972341487
reset12,close,366,60,372,-526.67891779989,398.9032911398719,-127.77562666001808,-1.2777562666001807,11.402636176698563,-139.17826283671664,5.279475408814472
atr,close,424,53,321,-650.4200408013187,543.4089034838405,-107.01113731747819,-1.0701113731747818,18.66229766920241,-125.6734349866806,6.31283760222206
reset_be10,close,366,65,367,-593.997829728035,673.7227665845024,79.72493685646748,0.7972493685646748,17.4278762077671,62.29706064870038,7.652730054155931
reset_no_be,close,297,72,429,-414.40508154995854,834.9935031057589,420.5884215558004,4.205884215558004,15.000884748888568,405.5875368069118,6.739470400047335
baseline_no_be,close,306,73,419,-438.89675601502637,829.1985460197495,390.30179000472316,3.9030179000472316,15.328482661656032,374.9733073430671,6.992746041373292
baseline,high_then_low,590,47,161,-735.2237830763697,574.9629329652718,-160.26085011109797,-1.6026085011109796,27.294112726026288,-187.55496283712426,6.99996619543172
reset,high_then_low,480,41,277,-553.253773577443,515.5722248454847,-37.68154873195829,-0.37681548731958286,21.84408157677573,-59.525630308734016,5.232850405839948
reset6,high_then_low,495,38,265,-498.33361137721977,415.9571520927034,-82.37645928451639,-0.8237645928451639,22.285604857875786,-104.66206414239217,4.9936875589195475
reset10,high_then_low,456,42,300,-440.96684258095627,409.5865410867955,-31.38030149416079,-0.3138030149416079,16.619833189561035,-48.000134683721825,4.282740186708115
reset12,high_then_low,435,43,320,-402.43024156715273,340.60097424148245,-61.82926732567029,-0.6182926732567029,13.368406360481648,-75.19767368615193,3.9062558612064966
atr,high_then_low,486,35,277,-509.13711683216565,445.41267586059433,-63.72444097157131,-0.6372444097157132,21.078963231991313,-84.80340420356262,4.911911987931048
reset_be10,high_then_low,427,51,320,-742.1721457495497,555.464362301663,-186.70778344788675,-1.8670778344788674,19.759386382189675,-206.46716983007644,7.4143532504989835
reset_no_be,high_then_low,337,66,395,-410.2946760185874,774.4752019410769,364.1805259224895,3.641805259224895,16.54590740825428,347.6346185142352,6.548494877274765
baseline_no_be,high_then_low,359,69,370,-498.20214191751404,842.4112071145435,344.2090651970294,3.442090651970294,17.730469300304808,326.4785958967246,6.9333144714755965
baseline,low_then_high,558,49,191,-666.8747967735128,596.9353790909123,-69.93941768260049,-0.6993941768260049,25.86148979917772,-95.80090748177821,6.965044823868433
reset,low_then_high,472,43,283,-550.3578576041457,537.5446709711252,-12.81318663302045,-0.1281318663302045,21.550607659762377,-34.36379429278283,5.64227573202433
reset6,low_then_high,489,39,270,-504.6564454039226,423.99906348571034,-80.65738191821225,-0.8065738191821226,22.04611531586243,-102.70349723407469,5.147377871166725
reset10,low_then_high,447,45,306,-435.14295992114177,429.0307614281682,-6.112198492973562,-0.06112198492973562,16.324307630890946,-22.436506123864508,4.6156611900292015
reset12,low_then_high,425,47,326,-390.20612488914765,356.9395801596054,-33.26654472954226,-0.33266544729542263,13.119310085487317,-46.385854815029575,4.038371565978834
atr,low_then_high,478,37,283,-515.7149097844839,466.2412845013077,-49.473625283176204,-0.49473625283176204,20.758976077250203,-70.2326013604264,4.891213248021629
reset_be10,low_then_high,424,52,322,-744.3596457495497,569.3948970342966,-174.9647487152531,-1.7496474871525312,19.648917632189676,-194.61366634744277,7.541746295751915
reset_no_be,low_then_high,337,66,395,-410.2946760185874,774.4752019410769,364.1805259224895,3.641805259224895,16.54590740825428,347.6346185142352,6.548494877274765
baseline_no_be,low_then_high,359,69,370,-498.20214191751404,842.4112071145435,344.2090651970294,3.442090651970294,17.730469300304808,326.4785958967246,6.9333144714755965
