id,symbol,entry_time,exit_or_mark_time,open,entry_price,exit_or_mark_price,cost_usd,pnl_usd,baseline,cooldown_4h,cooldown_24h,cooldown_48h,cooldown_168h,loss_cooldown_24h,one_entry_per_token,signal_reset,signal_reset_4h
open-0,HYPE/USDT,1773232095.0530453,1788977626.024947,True,35.49,86.593,454.54545454545456,654.5121545121543,True,True,True,True,True,True,True,True,True
closed-0,TRX/USDT,1773376987.6815863,1773934988.412864,False,0.2896,0.30103,476.19047619047626,18.794396211523278,True,True,True,True,True,True,True,True,True
closed-1,VVV/USDT,1773376987.682436,1773936268.0917568,False,6.363,5.2494,238.0952380952381,-41.66947306975599,True,True,True,True,True,True,True,True,True
closed-120,VVV/USDT,1773965225.795107,1778486503.2023683,False,5.7672,17.692,142.85714285714286,295.3847373323029,True,True,False,False,False,False,False,True,True
closed-414,TRX/USDT,1774195577.9395382,1781197926.3777509,False,0.3154,0.3152,135.13513513513513,-0.08569127148710066,True,True,True,True,False,True,False,True,True
closed-2,TAO/USDT,1774441801.607653,1774627947.2101953,False,358.03,326.55,116.27906976744185,-10.223906142722857,True,True,True,True,True,True,True,True,True
closed-647,STG/USDT,1774441876.2135448,1786777844.673243,False,0.2013,0.1432,153.06122448979593,-44.17713434106878,True,True,True,True,True,True,True,True,True
closed-5,ZRO/USDT,1774441946.5160167,1776338895.4196827,False,2.219,1.9454,181.8181818181818,-22.41796058830758,True,True,True,True,True,True,True,True,True
closed-6,PURR/USDT,1774442017.1916852,1776348071.0483358,False,0.087222,0.080033,166.66666666666666,-13.736977673828443,True,True,True,True,True,True,True,True,True
closed-219,MORPHO/USDT,1774510530.623234,1779101969.4316862,False,1.67,1.657,41.666666666666664,-0.32435129740518714,True,True,True,True,True,True,True,True,True
closed-184,SKY/USDT,1774583431.537942,1778873714.1122737,False,0.070643,0.070582,24.999999999999996,-0.021587418427866743,True,True,True,True,True,True,True,True,True
closed-3,TAO/USDT,1774650703.1715167,1776338824.5269043,False,313.81,238.3,166.66666666666666,-40.103884516108465,True,True,False,False,False,False,False,True,True
closed-380,PAXG/USDT,1774987196.2754548,1780721383.1328158,False,4679.4,4303.64,166.66666666666666,-13.383482212819281,True,True,True,True,True,True,True,True,True
open-3,APE/USDT,1775175276.6262028,1788977626.024947,True,0.0829,0.14599,41.666666666666664,31.709891435464414,True,True,True,True,True,True,True,True,True
closed-32,RENDER/USDT,1775246608.4542537,1776537270.058615,False,1.9436,1.787,166.66666666666666,-13.428689030664751,True,True,True,True,True,True,True,True,True
open-4,MOG/USDT,1775248179.942781,1788977626.024947,True,1.338e-07,1.089e-07,41.666666666666664,-7.754110612855005,True,True,True,True,True,True,True,True,True
closed-24,POLYX/USDT,1775288053.4456906,1776516095.2930508,False,0.0559,0.051284,40.32258064516129,-3.329678573489522,True,True,True,True,True,True,True,True,True
closed-382,JTO/USDT,1775309091.9612722,1780733810.9717784,False,0.3062,0.5118,40.32258064516129,27.074861465203007,True,True,True,True,True,True,True,True,True
closed-20,ALGO/USDT,1775318628.0736766,1776507486.07026,False,0.11886,0.10888,80.64516129032258,-6.771316756498557,True,True,True,True,True,True,True,True,True
closed-195,ANIME/USDT,1775527308.6855934,1778918470.1202226,False,0.004501,0.00442,40.32258064516129,-0.7256451971246486,True,True,True,True,True,True,True,True,True
closed-26,AIXBT/USDT,1775657941.3443787,1776520079.9395607,False,0.02726,0.027229,40.32258064516129,-0.04585473220836358,True,True,True,True,True,True,True,True,True
closed-332,APT/USDT,1775674070.2227201,1780438427.7624345,False,0.84,0.838,40.32258064516129,-0.09600614439324126,True,True,True,True,True,True,True,True,True
closed-4,TNSR/USDT,1775720377.817925,1776338824.5302927,False,0.04687,0.04079,24.193548387096772,-3.138399278718763,True,True,True,True,True,True,True,True,True
closed-65,DOT/USDT,1775980972.484268,1776966765.8949614,False,1.2249,1.2241,40.32258064516129,-0.02633526370816755,True,True,True,True,True,True,True,True,True
closed-103,CC/USDT,1776338275.5379689,1777899115.2981133,False,0.14667,0.14634,54.94505494505494,-0.12362356399991793,True,True,True,True,True,True,True,True,True
closed-58,COMP/USDT,1776338275.5405662,1776792549.994079,False,22.779,22.65,82.41758241758241,-0.46673989779482156,True,True,True,True,True,True,True,True,True
